,TA2ID,English,3D,label,Def
0,,,,,
1,1.0,General terms,, x,
2,2.0,Vertical,,,
3,3.0,Horizontal,,,
4,4.0,Median,,,
5,5.0,Coronal,,,
6,6.0,Sagittal,,,
7,7.0,Right,,,
8,8.0,Left,,,
9,9.0,Intermediate,,,
10,10.0,Medial,,,
11,11.0,Lateral,,,
12,12.0,Anterior,,,
13,13.0,Posterior,,,
14,14.0,Ventral, x,, x
15,15.0,Dorsal, x,, x
16,16.0,Frontal, x,, x
17,17.0,Occipital, x,, x
18,18.0,Superior,,,
19,19.0,Inferior,,,
20,20.0,Cranial, x,, x
21,21.0,Caudal, x,, x
22,22.0,Rostral,,,
23,23.0,Apical,,,
24,24.0,Basal,,,
25,25.0,Middle,,,
26,26.0,Transverse,,,
27,27.0,Longitudinal,,,
28,28.0,Axial,,,
29,29.0,External,,,
30,30.0,Internal,,,
31,31.0,Luminal,,,
32,32.0,Superficial,,,
33,33.0,Deep,,,
34,34.0,Proximal, x,, x
35,35.0,Distal, x,, x
36,36.0,Central,,,
37,37.0,Peripheral,,,
38,38.0,Radial, x,, x
39,39.0,Ulnar, x,, x
40,40.0,Fibular, x,, x
41,41.0,Tibial, x,, x
42,42.0,Palmar, x,, x
43,43.0,Plantar, x,, x
44,44.0,Flexor,,,
45,45.0,Extensor,,,
46,46.0,Reference planes,, x, x
47,47.0,Longitudinal planes,, x, x
48,48.0,Coronal planes, x,, x
49,49.0,Sagittal planes, x, x, x
50,50.0,Median plane, x,, x
51,51.0,Paramedian plane, x,, x
52,52.0,Transverse planes, x,, x
53,53.0,Transpyloric plane,,,
54,54.0,Subcostal plane,,,
55,55.0,Transumbilical plane,,,
56,56.0,Supracristal plane,,,
57,57.0,Intertubercular plane,,,
58,58.0,Interspinous plane,,,
59,59.0,Reference lines,, x, x
60,60.0,Anterior median line, x,, x
61,61.0,Sternal line, x,, x
62,62.0,Parasternal line, x,, x
63,63.0,Midclavicular line, x,, x
64,64.0,Mamillary line, x,, x
65,65.0,Anterior axillary line, x,, x
66,66.0,Midaxillary line,,,
67,67.0,Posterior axillary line, x,, x
68,68.0,Scapular line, x,, x
69,69.0,Paravertebral line, x,, x
70,70.0,Posterior median line, x,, x
71,71.0,Human body positions,,,
72,72.0,Anatomical position,,,
73,73.0,Comparative anatomical position,,,
74,74.0,Prone position,,,
75,75.0,Supine position,,,
76,76.0,Movements,, x, x
77,77.0,Abduction, x,, x
78,78.0,Adduction, x,, x
79,79.0,Lateral rotation, x,, x
80,80.0,Medial rotation, x,, x
81,81.0,Circumduction, x,, x
82,82.0,Flexion,,, x
83,83.0,Extension,,, x
84,84.0,Pronation, x,, x
85,85.0,Supination, x,, x
86,86.0,Opposition,,,
87,87.0,Reposition,,,
88,88.0,Plantar flexion, x,, x
89,89.0,Dorsiflexion, x,, x
90,90.0,Elevation,,,
91,91.0,Depression,,,
92,92.0,Eversion, x,, x
93,93.0,Inversion, x,, x
94,94.0,Protraction,,,
95,95.0,Retraction,,,
96,96.0,Human body,,,
97,97.0,Parts of human body,,, x
98,98.0,Head,,, x
99,99.0,Neurocranial part of head,,, x
100,100.0,Cranial cavity,,, x
101,101.0,Forehead,,, x
102,102.0,Occiput,,, x
103,103.0,Temple,,, x
104,104.0,Auricle,,,
105,105.0,Lobule of auricle, x,, x
106,106.0,Helix, x,, x
107,107.0,Crus of helix,,,
108,108.0,Antihelix, x,, x
109,109.0,Crura of antihelix, x,, x
110,110.0,Antitragus, x,, x
111,111.0,Tragus, x,, x
